代码,资产名称
A02090903,双向电缆电视系统设备
A02090904,光缆电视分配系统设备
A02090999,其他电缆电视分配系统设备
A02091000,电视设备
A02091001,普通电视设备（电视机）
A02091002,特殊环境应用电视监视设备
A02091003,特殊功能应用电视设备
A02091004,特种成像应用电视设备
A02091099,其他电视设备
A02091100,视频设备
A02091101,录像机
A02091102,通用摄像机
A02091103,摄录一体机
A02091104,平板显示设备
A02091105,电视唱盘
A02091106,激光视盘机
A02091107,视频监控设备
A02091108,视频处理器
A02091109,虚拟演播室设备
A02091110,字幕机
A02091199,其他视频设备
A02091200,音频设备
A02091201,录放音机
A02091202,收音机
A02091203,音频功率放大器设备（功放设备）
A02091204,电唱机
A02091205,音响电视组合机
A02091206,话筒设备
A02091207,数码音频工作站及配套设备
A02091208,声画编辑机
A02091209,录音外围设备
A02091210,扩音设备
A02091211,音箱
A02091212,复读机
A02091213,语音语言实验室设备
A02091299,其他音频设备
A02091300,组合音像设备
A02091301,音视频播放设备
A02091302,闭路播放设备
A02091303,同声现场翻译设备及附属设备
A02091304,会议、广播及音乐欣赏系统
A02091399,其他组合音像设备
A02091400,播出设备
A02091401,机械手播出设备
A02091402,硬盘播出设备
A02091403,播出周边设备
A02091499,其他播出设备
A02091500,电影设备
A02091501,传版设备
A02091502,编辑、采访设备
A02091503,压片加工设备
A02091504,唱机生产设备
A02091505,盒式音带加工设备
A02091506,影视片制作、维护设备
A02091599,其他电影设备
A02091600,传声器、扬声器、耳塞机
A02091700,无线寻呼机
A02091800,磁(纹)卡和集成电路卡
A02091900,广播、电视、电影设备零部件
A02099900,其他广播、电视、电影设备
A02100000,仪器仪表
A02100100,自动化仪表
A02100101,温度仪表
A02100102,压力仪表
A02100103,流量仪表
A02100104,物位及机械量仪表
A02100105,显示及调节仪表
A02100106,气动、电动单元组合仪表
A02100107,基地式仪表
A02100108,绘图仪
A02100109,集中控制装置
A02100110,执行器
A02100111,自动成套控制系统
A02100112,工业控制用计算机系统
A02100199,其他自动化仪表
A02100200,电工仪器仪表
A02100201,电度表
A02100202,实验室电工仪器及指针式电表
A02100203,数字电网监测表
A02100204,电阻测量仪器
A02100205,记录电表、电磁示波器
A02100206,测磁仪器
A02100207,扩大量程装置
A02100299,其他电工仪器仪表
A02100300,光学仪器
A02100301,显微镜
A02100302,光学计量仪器
A02100303,物理光学仪器
A02100304,光学测试仪器
A02100305,电子光学及离子光学仪器
A02100306,航测仪器
A02100307,光谱遥感仪器
A02100308,红外仪器
A02100309,激光仪器
A02100310,望远镜
A02100311,眼镜
A02100312,光导纤维和纤维束
A02100313,透镜、棱镜、反射镜
A02100399,其他光学仪器
A02100400,分析仪器
A02100401,电化学分析仪器
A02100402,物理特性分析仪器及校准仪器
A02100403,热学式分析仪器
A02100404,光学式分析仪器
A02100405,射线式分析仪器
A02100406,波谱仪
A02100407,质谱仪
A02100408,色谱仪
A02100409,磁式分析仪
A02100410,晶体振荡式分析仪
A02100411,蒸馏及分离式分析仪
A02100412,气敏式分析仪
A02100413,化学变色式分析仪
A02100414,多种原理分析仪
A02100415,环境监测仪器及综合分析装置
A02100416,热分析仪
A02100417,生化分离分析仪器
A02100418,环境与农业分析仪器
A02100419,样品前处理及制备仪器
A02100420,分析仪器辅助装置
A02100499,其他分析仪器
A02100500,试验机
A02100501,金属材料试验机
A02100502,非金属材料试验机
A02100503,工艺试验机
A02100504,测力仪器
A02100505,动平衡机
A02100506,振动台与冲击台
A02100507,碰撞台
A02100508,无损探伤机
A02100509,包装件试验机
A02100510,结构试验机
A02100511,橡胶制品检测机械
A02100599,其他试验机
A02100600,试验仪器及装置
A02100601,分析天平及专用天平
A02100602,动力测试仪器
A02100603,试验箱及气候环境试验设备
A02100604,生物、医学样品制备设备
A02100605,应变及振动测试仪器
A02100606,型砂铸造试验仪器及装置
A02100607,真空检测仪器
A02100608,土工测试仪器
A02100609,实验室高压釜
A02100610,电子可靠性试验设备
A02100699,其他试验仪器及装置
A02100700,计算仪器
A02100701,液体比重计
A02100702,玻璃温度计
A02100703,气压计
A02100704,湿度计
A02100705,液体压力计
A02100706,气体与液体计量仪表
A02100707,速度测量仪表
A02100708,产量计数器
A02100709,计费与里程表
A02100710,计步器、频闪仪
A02100799,其他计算仪器
A02100800,计量仪器
A02100801,力学性能测试仪器
A02100802,大地测量仪器
A02100803,光电测量仪器
A02100804,声学振动仪器
A02100805,颗粒度测量仪器
A02100806,探伤仪器
A02100807,齿轮量仪
A02100808,螺纹量仪
A02100809,形位误差检查仪
A02100810,角度量仪
A02100899,其他计量仪器
A02100900,钟表及定时仪器
A02100901,钟
A02100902,表
A02100903,定时器
A02100904,时间记录装置
A02100905,钟表机心
A02100999,其他钟表及定时仪器
A02101000,农林牧渔仪器
A02101100,地质勘探、钻采及人工地震仪器
A02101200,地震仪器
A02101300,安全仪器
A02101400,大坝观测仪器
A02101500,电站热工仪表
A02101600,电力数字仪表
A02101700,气象仪器
A02101800,水文仪器设备
A02101900,测绘仪器
A02102000,天文仪器
A02102100,教学仪器
A02102200,核子及核辐射测量仪器
A02102300,航空仪器
A02102400,航天仪器
A02102500,船舶仪器
A02102600,纺织仪器
A02102700,建筑工程仪器
A02102800,汽车拖拉机仪表
A02102900,动力测量仪器
A02103000,心理仪器
A02103100,生理仪器
A02103200,仪器仪表零部件
A02109900,其他仪器仪表
A02110000,电子和通信测量仪器
A02110100,数字、模拟仪表及功率计
A02110101,数字仪表及装置
A02110102,模拟式电压表
A02110103,功率计
A02110199,其他数字、模拟仪表及功率计
A02110200,元件器件参数测量仪
A02110201,电阻器、电容器参数测量仪
A02110202,敏感元件、磁性材料、电感元件测量仪
A02110203,电子元件参数测量仪
A02110204,半导体器件参数测量仪
A02110205,集成电路参数测量仪
A02110299,其他元件器件参数测量仪
A02110300,时间及频率测量仪器
A02110400,网络特性测量仪
A02110500,衰减器
A02110600,滤波器
A02110700,放大器
A02110800,场强干扰测量仪器及测量接收机
A02110900,波形参数测量仪器
A02111000,电子示波器
A02111100,通讯、导航测试仪器
A02111200,有线电测量仪
A02111300,电视用测量仪
A02111400,声源、声振信号发生器
A02111500,声级计
A02111600,电声滤波器
A02111700,电声放大器
A02111800,声振测量仪
A02111900,声振仪器校准装置
A02112000,电话、电声测试仪器
A02112100,声振分析仪
A02112200,数据仪器
A02112300,计算机用测量仪器
A02112400,核仪器与核辐射探测器
A02112500,交直流电测量仪器
A02112600,磁场测量仪器
A02112700,综合测量仪
A02112800,电子和通信测量仪器零部件
A02119900,其他电子和通信测量仪器
A02120000,计量标准器具及量具、衡器
A02120100,长度计量标准器具
A02120101,端度计量标准器具
A02120102,线纹计量标准器具
A02120103,齿轮参数计量标准器具
A02120104,角度计量标准器具
A02120105,光学仪器检测器具
A02120199,其他长度计量标准器具
A02120200,热学计量标准器具
A02120201,温度计量标准器具
A02120202,热量计量标准器具
A02120203,湿度计量标准器具
A02120299,其他热学计量标准器具
A02120300,力学计量标准器具
A02120301,质量计量标准器具
A02120302,容量计量标准器具
A02120303,密度计量标准器具
A02120304,流量计量标准器具
A02120305,压力及真空计量标准器具
A02120306,测力计量标准器具
A02120307,硬度计量标准器具
A02120308,振动、加速度及转速计量标准器具
A02120399,其他力学计量标准器具
A02120400,电磁学计量标准器具
A02120401,电表类计量标准器具
A02120402,交流计量标准器具
A02120403,直流计量标准器具
A02120404,高电压大电流计量标准器具
A02120405,磁特性计量标准器具
A02120499,其他电磁学计量标准器具
A02120500,无线电计量标准器具
A02120501,电压及功率参数计量标准器具
A02120502,信号及脉冲参数计量标准器具
A02120503,噪声参数计量标准器具
A02120504,元器件参数计量标准器具
A02120505,相位参数计量标准器具
A02120506,微波阻抗参数计量标准器具
A02120507,场强参数计量标准器具
A02120508,衰减计量标准器具
A02120599,其他无线电计量标准器具
A02120600,时间频率计量标准器具
A02120700,电离辐射计量标准器具
A02120800,光学计量标准器具
A02120900,声学计量标准器具
A02121000,化学计量标准器具
A02121100,量具
A02121200,衡器
A02121201,地上衡
A02121202,地中衡
A02121203,轨道衡
A02121204,钢材秤
A02121205,皮带秤
A02121206,吊秤
A02121207,配料秤
A02121208,定量秤
A02121209,台案秤
A02121210,液体秤
A02121211,气体秤
A02121212,料斗秤
A02121213,核子秤
A02121214,计数秤
A02121299,其他衡器
A02121300,标准物质
A02121400,计量标准器具零部件
A02129900,其他计量标准器具
A02130000,探矿、采矿、选矿和造块设备
A02130100,钻探机
A02130200,装药填充机械
A02130300,矿用装载设备
A02130400,煤矿生产监测监控设备
A02130500,煤矿防治水设备
A02130600,煤矿支护装备
A02130700,提升、运输设备和绞车
A02130800,选矿和洗矿设备
A02130900,造块设备
A02131000,探矿、采矿、选矿和造块设备零部件
A02139900,其他探矿、采矿、选矿和造块设备
A02140000,石油天然气开采设备
A02140100,油气水井设施
A02140200,油气汽水集输设施
A02140300,油气汽水处理设施
A02140400,油田机械
A02140500,石油天然气开采设备零部件
A02149900,其他石油天然气开采设备
A02150000,石油和化学工业设备
A02150100,石油储备库设备
A02150200,长输管线
A02150300,界区间管线
A02150400,界区间罐区设施
A02150500,输油（气）站
A02150600,炼油生产装置
A02150700,润滑油生产装置
A02150800,基本有机化工原料生产装置
A02150900,合成树脂生产装置
A02151000,合成橡胶生产装置
A02151100,合成纤维原料生产装置
A02151200,合成纤维及合纤聚合物生产装置
A02151300,化肥生产装置
A02151400,无机化工生产装置
A02151500,炼油催化剂生产装置
A02151600,基本有机化工原料催化剂生产装置
A02151700,合成树脂催化剂生产装置
A02151800,合成橡胶催化剂生产装置
A02151900,添加剂助剂生产装置
A02152000,催化剂原料生产装置
A02152100,催化剂检验分析评价装置
A02152200,辅助生产装置
A02152300,油品销售设施类
A02152400,橡胶设备
A02152500,塑料机械
A02152600,日用化学品设备
A02152700,林产化工机械
A02152800,石油和化学工业设备零部件
A02159900,其他石油和化学工业设备
A02160000,炼焦和金属冶炼轧制设备
A02160100,炼焦设备
A02160200,炼铁设备
A02160300,炼钢设备
A02160400,有色金属冶炼设备
A02160500,铁合金设备
A02160600,金属轧制机械及拉拔设备
A02160700,冶金专用车辆
A02160800,炼焦和金属冶炼轧制设备零部件
A02169900,其他炼焦和金属冶炼轧制设备
A02170000,电力工业设备
A02170100,电站锅炉及辅助设备
A02170200,汽轮发电机组
A02170300,水轮发电机组
A02170400,输电线路
A02170500,配电线路
A02170600,变电设备
A02170700,电力专用自动化控制设备
A02170800,架线设备
A02170900,电站制氢设备
A02171000,电力工业设备零部件
A02179900,其他电力工业设备
A02180000,非金属矿物制品工业设备
A02180100,水泥及水泥制品设备
A02180200,玻璃及玻璃制品制造设备
A02180300,陶瓷制品生产设备
A02180400,墙体、地面材料
A02180500,石棉、耐火制品及其他非金属矿物制品设备
A02180600,非金属矿物切削加工设备
A02180700,非金属矿物制品工业设备零部件
A02189900,其他非金属矿物制品工业设备
A02190000,核工业设备
A02190100,核反应堆设备
A02190200,核用矿冶设备
A02190300,核电站设备
A02190400,核燃料循环设备
A02190500,核地勘设备
A02190600,核聚变试验装置
A02190700,核技术应用设备
A02190800,核工业设备零部件
A02199900,其他核工业设备
A02200000,航空航天工业设备
A02200100,飞机、火箭、导弹、卫星总装调试设备
A02200200,控制、遥测、能源、制导系统用设备
A02200300,人造卫星
A02200400,弹（星）体加工设备
A02200500,发动机设备
A02200600,驾驶系统和惯性器件设备
A02200700,战斗部设备
A02200800,火工品设备
A02200900,制造地面系统设备
A02201000,试验设备
A02201100,航天专用工艺设备
A02201200,全弹发动机试车台
A02201300,地面飞行训练器
A02201400,航天产品用特种车
A02201500,航空航天工业设备零部件
A02209900,其他航空航天工业设备
A02210000,工程机械
A02210100,挖掘机械
A02210200,铲土运输机械
A02210300,工程起重机械
A02210400,工业车辆
A02210500,压实机械
A02210600,路面及养护机械
A02210700,桩工机械
A02210800,混凝土机械
A02210900,凿岩与掘进机械
A02211000,钢筋及预应力机械
A02211100,气动工具
A02211200,装修与高处作业机械
A02211300,工程机械零部件
A02219900,其他工程机械
A02220000,农业和林业机械
A02220100,拖拉机
A02220200,土壤耕整机械
A02220300,种植施肥机械
A02220400,植物管理机械
A02220500,园林机械
A02220600,农作物及林特产品收获机械
A02220700,收获后处理机械
A02220800,农林产品初加工机械
A02220900,农用搬运机械
A02221000,排灌机械
A02221100,农村可再生能源利用设备
A02221200,设施农业设备
A02221300,农用动力机械
A02221400,草原建设机械
A02221500,草料加工设备
A02221600,畜牧饲养机械
A02221700,畜禽产品采集加工机械
A02221800,水产养殖机械
A02221900,水产品捕捞和采集机械
A02222000,水产品初加工机械
A02222100,制网机械
A02222200,农业和林业机械零部件
A02229900,其他农业和林业机械
A02230000,木材采集和加工设备
A02230100,木材采伐和集运机械
A02230200,木工机床
A02230300,木质纤维加工设备
A02230400,人造板加工设备
A02230500,木材干燥设备
A02230600,木材防腐设备
A02230700,林业生物质工程设备
A02230800,木材采集和加工机械零部件
A02239900,其他木材采集和加工机械
A02240000,食品加工设备
A02240100,制糖机械
A02240200,糕点糖果及果品加工机械
A02240300,菜类食品加工机械
A02240400,屠宰、肉食品及蛋品加工机械
A02240500,食品蒸煮机械
A02240600,食品杀菌器械
A02240700,食品均质机
A02240800,调味品加工机械
A02240900,罐头食品生产线
A02241000,饮食炊事机械
A02241100,食品检测、监测设备
A02241200,食品加工设备零部件
A02249900,其他食品加工设备
A02250000,饮料加工设备
A02250100,酿酒设备
A02250200,无醇饮料加工设备
A02250300,饮料加工设备零部件
A02259900,其他饮料加工设备
A02260000,烟草加工设备
A02260100,烟用加温加湿机械
A02260200,烟用解把机械
A02260300,烟用除杂、筛分机械
A02260400,烟用叶梗分离机械
A02260500,烟用烘烤机械
A02260600,烟用预压打包机械
A02260700,烟用开（拆）包机械
A02260800,烟用叶片分切机械
A02260900,烟用切丝机械
A02261000,烟用烘丝机械
A02261100,烟用冷却机械
A02261200,烟用香精香料调配及加料加香机械
A02261300,烟用压梗机械
A02261400,烟丝膨胀机械
A02261500,烟丝输送机械
A02261600,再造烟叶机械
A02261700,烟用卷接机械
A02261800,烟用包装机械
A02261900,烟用虑棒成型机
A02262000,烟用装封箱机
A02262100,废烟支、烟丝回收装置
A02262200,烟草加工机械零部件
A02269900,其他烟草加工机械
A02270000,粮油作物和饲料加工设备
A02270100,通用清理机械
A02270200,碾米机械
A02270300,面粉加工设备
A02270400,榨油机械
A02270500,油脂浸出机械
A02270600,油脂精炼设备
A02270700,饲料加工设备
A02270800,食品油脂加工设备
A02270900,粮油作物和饲料加工设备零部件
A02279900,其他粮油作物和饲料加工设备
A02280000,纺织设备
A02280100,化纤机械
A02280200,棉纺织机械
A02280300,毛纺织机械
A02280400,麻纺织机械
A02280500,丝绸机械及绢纺机械
A02280600,针织机械
A02280700,染整机械
A02280800,非织造织物设备
A02280900,毛毯加工机械
A02281000,纺织设备零部件
A02289900,其他纺织设备
A02290000,缝纫、服饰、制革和毛皮加工设备
A02290100,缝纫机
A02290200,服装加工机械
A02290300,羽绒加工设备
A02290400,工业洗涤机械
A02290500,制鞋机械
A02290600,制帽机械
A02290700,制革机械
A02290800,毛皮加工机械
A02290900,皮革制品加工机械
A02291000,缝纫、服饰、制革和毛皮加工机械零部件
A02299900,其他缝纫、服饰、制革和毛皮加工机械
A02300000,造纸和印刷机械
A02300100,造纸机械
A02300200,图像制版机械
A02300300,文字制版机械
A02300400,照排设备
A02300500,盲文印刷机
A02300600,装订机械
A02300700,数码印刷机
A02300800,造纸纵切机
A02300900,切纸机
A02301000,切割机
A02301100,盘纸分切机
A02301200,切蜡光纸机
A02301300,裁纸机
A02309900,其他造纸和印刷机械
A02310000,化学药品和中药设备
A02310100,化学原料药加工机械
A02310200,制剂机械
A02310300,中药机械
A02310400,药瓶洗理机械
A02310500,药用干燥设备
A02310600,制药蒸发设备和浓缩设备
A02310700,药品专用包装机械
A02310800,粉碎、筛粉设备
A02310900,化学药品和中药设备零部件
A02319900,其他化学药品和中药设备
A02320000,医疗设备
A02320100,手术器械
A02320200,普通诊察器械
A02320300,医用电子生理参数检测仪器设备
A02320400,医用光学仪器
A02320500,医用超声波仪器及设备
A02320600,医用激光仪器及设备
A02320700,医用内窥镜
A02320800,物理治疗、康复及体育治疗仪器设备
A02320900,中医器械设备
A02321000,医用磁共振设备
A02321100,医用磁共振设备辅助装置
A02321200,医用 X 线诊断设备
A02321300,医用 X 线附属设备及部件
A02321400,医用放射射线治疗设备
A02321500,核医学诊断设备
A02321600,核医学诊断设备辅助装置
A02321700,医用射线防护设备
A02321800,医用射线监检测设备及用具
A02321900,临床检验设备
A02322000,药房设备及器具
A02322100,体外循环设备
A02322200,人工脏器及功能辅助装置
A02322300,假肢装置及部件
A02322400,手术室设备及附件
A02322500,急救和生命支持设备
A02322600,介/植入诊断和治疗用器械
A02322700,病房护理及医院设备
A02322800,消毒灭菌设备及器具
A02322900,医用低温、冷疗设备
A02323000,防疫、防护卫生装备及器具
A02323100,助残器械
A02323200,骨科植入部件
A02323300,口腔设备及器械
A02323400,兽医设备
A02323500,医疗设备零部件
A02329900,其他医疗设备
A02330000,电工、电子生产设备
A02330100,电工生产设备
A02330200,电池生产设备
A02330300,电子工业生产设备
A02330400,家用电器生产设备
A02330500,电工、电子生产设备零部件
A02339900,其他电工、电子生产设备
A02340000,安全生产设备
A02340100,煤矿安全设备
A02340200,非煤矿山安全设备
A02340300,危险化学品安全设备
A02340400,烟花爆竹行业安全设备
A02340500,公路行业安全设备
A02340600,铁路行业安全设备
A02340700,民航行业安全设备
A02340800,应急救援设备类
A02340900,安全生产设备零部件
A02349900,其他安全生产设备
A02350000,邮政设备
A02350100,邮政内部处理设备
A02350200,邮政营业投递设备
A02350300,邮政除尘设备
A02350400,邮政清洗缝补设备
A02350500,邮政储汇设备
A02350600,邮政设备零部件
A02359900,其他邮政设备
A02360000,环境污染防治设备
A02360100,大气污染防治设备
A02360200,水质污染防治设备
A02360300,固体废弃物处理设备
A02360400,噪声控制设备
A02360500,环保监测设备
A02360600,金属废料回收设备
A02360700,非金属废料回收设备
A02360800,核与辐射安全设备
A02360900,环境污染防治设备零部件
A02369900,其他环境污染防治设备
A02370000,政法、消防、检测设备
A02370100,消防设备
A02370200,交通管理设备
A02370300,物证检验鉴定设备
A02370400,安全、检查、监视、报警设备
A02370500,爆炸物处置设备
A02370600,技术侦察取证设备
A02370700,警械设备
A02370800,非杀伤性武器
A02370900,防护防暴装备
A02371000,出入境设备
A02371100,边界勘界和联检设备
A02371200,网络监察设备
A02371300,教育训练装备
A02371400,政法、消防、检测设备零部件
A02379900,其他政法、检测设备
A02380000,水工机械
A02380100,清淤机械
A02380200,破冰机械
A02380300,水利闸门启闭机
A02380400,水工机械零部件
A02389900,其他水工机械
A02390000,货币处理设备
A02390100,钞票处理设备
A02390200,货币清分处理设备
A02390300,货币销毁处理设备
A02390400,金库门
A02390500,货币处理设备零部件
A02399900,其他货币处理设备
A02400000,殡葬设备及用品
A02400100,火化设备
A02400200,殡仪设备及用品
A02400300,殡葬设备零部件
A02409900,其他殡葬设备及用品
A02410000,铁路运输设备
A02410100,机车
A02410200,客车
A02410300,货车
A02410400,大型养路机械
A02410500,铁路设备
A02410600,铁路设备零部件
A02419900,其他铁路运输设备
A02420000,水上交通运输设备
A02420100,货船
A02420200,客船
A02420300,拖船
A02420400,驳船
A02420500,渔船
A02420600,海洋、内水调查和开发船
A02420700,电气作业和海底工程作业船
A02420800,挖泥、打桩船（驳）
A02420900,起重船和囤船
A02421000,水面工作船
A02421100,水面公务船
A02421200,特种作业船
A02421300,机动船
A02421400,浮船坞、码头和维修工作船
A02421500,船舶制造设备
A02421600,潜水设备
A02421700,航标设施
A02421800,航标灯、闪光器
A02421900,水上交通运输设备零部件
A02429900,其他水上交通运输设备
A02430000,航空器及其配套设备
A02430100,固定翼飞机
A02430200,直升机
A02430300,专用飞机
A02430400,飞行器
A02430500,飞机维修设备
A02430600,航空港设备
A02430700,机场地面特种车辆
A02430800,火箭及发射、维护设施
A02430900,无人机
A02431000,航空器零部件
A02439900,其他航空器及其配套设备
A02440000,海洋仪器设备
A02440100,海洋水文气象仪器设备
A02440200,海洋地质地球物理仪器设备
A02440300,海洋生物仪器设备
A02440400,海洋化学仪器设备
A02440500,海洋声光仪器设备
A02440600,海洋船用船载仪器设备
A02440700,海洋综合观测平台
A02440800,海洋执法装备
A02440900,海洋计量检测设备
A02441000,海水淡化与综合利用设备
A02441100,海洋仪器设备零部件
A02449900,其他海洋仪器设备
A02450000,文艺设备
A02450100,乐器
A02450200,演出服饰
A02450300,舞台设备
A02450400,影剧院设备
A02450500,文艺设备零部件
A02459900,其他文艺设备
A02460000,体育设备设施
A02460100,田赛设备
A02460200,径赛设备
A02460300,球类设备
A02460400,体操设备
A02460500,举重设备
A02460600,游泳设备
A02460700,跳水设备
A02460800,水上运动设备
A02460900,潜水运动设备
A02461000,冰上运动设备
A02461100,雪上运动设备
A02461200,射击设备
A02461300,击剑设备
A02461400,射箭设备
A02461500,摩托车运动设备
A02461600,自行车运动设备
A02461700,赛车运动设备
A02461800,赛马和马术运动设备
A02461900,拳击、跆拳道设备
A02462000,摔跤、柔道设备
A02462100,散打、武术设备
A02462200,棋牌类运动设备
A02462300,航模、海模及其他模型设备
A02462400,垂钓器具和用品
A02462500,登山设备
A02462600,健身设备
A02462700,运动康复设备
A02462800,残疾人体育及训练设备
A02462900,体育运动辅助设备
A02463000,体育设备零部件
A02469900,其他体育设备设施
A02470000,娱乐设备
A02470100,成套游乐场设备
A02470200,一般游乐场设备
A02470300,智能游艺设备
A02470400,博弈设备
A02470500,彩票销售设备
A02470600,卡拉 OK 设备
A02470700,游戏游览用车、船
A02470800,活动辅助设备
A02470900,娱乐设备零部件
A02479900,其他娱乐设备
